"BehaviorSpace results (NetLogo 6.0.1)"
"ModelAgents-BlanchLopezMingo.nlogo"
"Prova pilot - Experiment4 (700, 1.0)"
"06/13/2017 19:55:15:283 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","3"
"[run number]","max-capacity","train-frequency-exponential","[step]","mean-waiting-time / ticks-per-minute"
"6","700","1","4501","1.4827120607150477"
"5","700","1","4501","1.4941366103898386"
"3","700","1","4501","1.4919205658922052"
"4","700","1","4501","1.4827247566018689"
"7","700","1","4501","1.4948440886304701"
"2","700","1","4501","1.4878782687516128"
"8","700","1","4501","1.4669189172892174"
"9","700","1","4501","1.4814340411324207"
"12","700","1","4501","1.47729537211506"
"11","700","1","4501","1.50871702915317"
"10","700","1","4501","1.4764171943549955"
"13","700","1","4501","1.482001767420548"
"14","700","1","4501","1.4706072378103525"
"15","700","1","4501","1.5051675314900934"
"16","700","1","4501","1.4813647573483917"
"17","700","1","4501","1.4586816190793934"
"18","700","1","4501","1.4948175519630484"
"21","700","1","4501","1.4774164208775644"
"19","700","1","4501","1.4665744897012734"
"20","700","1","4501","1.4679538538245964"
"22","700","1","4501","1.5035683221901055"
"1","700","1","4501","1.4912245768738444"
"23","700","1","4501","1.484271443455117"
"24","700","1","4501","1.4857017528620815"
"25","700","1","4501","1.4766659235868678"
"26","700","1","4501","1.4906834115337841"
"28","700","1","4501","1.4889556436428069"
"27","700","1","4501","1.4954321033934521"
"29","700","1","4501","1.4889034794027358"
"32","700","1","4501","1.4897507919007367"
"34","700","1","4501","1.4951759954854866"
"31","700","1","4501","1.484910051798964"
"33","700","1","4501","1.5087774005137047"
"35","700","1","4501","1.487245871567609"
"36","700","1","4501","1.4948714457630246"
"37","700","1","4501","1.5131301110567228"
"39","700","1","4501","1.4726226453434328"
"38","700","1","4501","1.493420761192557"
"43","700","1","4501","1.498729885426326"
"40","700","1","4501","1.4655603032509898"
"41","700","1","4501","1.494752086975115"
"42","700","1","4501","1.4977975148156921"
"44","700","1","4501","1.5032081128473418"
"46","700","1","4501","1.4936289567416665"
"45","700","1","4501","1.491400280834064"
"48","700","1","4501","1.4754768729373118"
"47","700","1","4501","1.4739768550979784"
"49","700","1","4501","1.474905622974557"
"50","700","1","4501","1.4743948391764385"
"30","700","1","4501","1.4690927201148707"
