"BehaviorSpace results (NetLogo 6.0.1)"
"ModelAgents-BlanchLopezMingo.nlogo"
"Prova pilot - Experiment1 (350, 4.0)"
"06/13/2017 19:41:25:038 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","3"
"[run number]","max-capacity","train-frequency-exponential","[step]","mean-waiting-time / ticks-per-minute"
"8","350","4","4501","3.450695414875946"
"4","350","4","4501","3.236059962388213"
"7","350","4","4501","4.051566303857796"
"3","350","4","4501","3.0580645581322674"
"6","350","4","4501","3.477192190946939"
"5","350","4","4501","2.9912967595555298"
"2","350","4","4501","3.47524141639751"
"12","350","4","4501","3.3728570116872385"
"9","350","4","4501","5.67456817958025"
"11","350","4","4501","3.195462653394328"
"10","350","4","4501","3.4137281292059223"
"13","350","4","4501","11.508768092592412"
"14","350","4","4501","3.087346179742858"
"15","350","4","4501","5.03244053535291"
"19","350","4","4501","3.350347964609809"
"17","350","4","4501","5.04749624946958"
"16","350","4","4501","3.699495631781473"
"18","350","4","4501","3.5670410619910413"
"20","350","4","4501","3.293222937339474"
"21","350","4","4501","4.060749905069145"
"22","350","4","4501","3.5151178573348383"
"1","350","4","4501","3.2260721807687767"
"25","350","4","4501","3.5859340235973995"
"23","350","4","4501","5.911223494636088"
"24","350","4","4501","3.087965668553608"
"26","350","4","4501","5.811612004063876"
"27","350","4","4501","3.336783450095619"
"29","350","4","4501","5.18434583297554"
"28","350","4","4501","5.09745088615789"
"32","350","4","4501","3.2223649299947454"
"34","350","4","4501","3.1020711494751896"
"33","350","4","4501","3.843618649611625"
"31","350","4","4501","2.7698582620656658"
"35","350","4","4501","3.626055102374682"
"36","350","4","4501","2.615469585054959"
"37","350","4","4501","5.266625677932097"
"40","350","4","4501","3.490174631580987"
"38","350","4","4501","3.266253044775739"
"39","350","4","4501","3.2389471852707166"
"42","350","4","4501","3.312316667432261"
"41","350","4","4501","3.874844043394905"
"43","350","4","4501","3.7702485659655833"
"44","350","4","4501","4.204081619172182"
"45","350","4","4501","4.666445318932288"
"48","350","4","4501","3.7722066188683336"
"47","350","4","4501","3.171937861304218"
"49","350","4","4501","3.552561050040577"
"46","350","4","4501","2.7575064495503607"
"50","350","4","4501","3.6715041995105695"
"30","350","4","4501","3.8630958525821355"
