"BehaviorSpace results (NetLogo 6.0.1)"
"ModelAgents-BlanchLopezMingo.nlogo"
"Prova pilot"
"06/13/2017 18:49:16:187 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","3"
"[run number]","max-capacity","train-frequency-exponential","[step]","mean-waiting-time / ticks-per-minute"
"4","350","4","4501","3.541957835526764"
"3","350","4","4501","4.188927879293498"
"2","350","4","4501","3.415500211542928"
"5","350","4","4501","3.259353485017376"
"6","350","4","4501","4.783677095557279"
"7","350","4","4501","3.542828017498953"
"8","350","4","4501","2.915521649857303"
"9","350","4","4501","4.643517085686342"
"10","350","4","4501","3.5458109397839435"
"1","350","4","4501","3.2340591034454107"
"12","350","4","4501","2.7064456003606288"
"11","350","4","4501","2.7660985776179445"
"13","350","4","4501","3.307195596680514"
"16","350","4","4501","3.032173068637977"
"15","350","4","4501","3.3408049300906093"
"17","350","4","4501","3.367579328505596"
"18","350","4","4501","3.9353863804088265"
"19","350","4","4501","3.1850683648379667"
"20","350","4","4501","4.66773590423522"
"14","350","4","4501","4.42806404911594"
"21","350","4","4501","4.780398485591328"
"22","350","4","4501","3.4161787901355822"
"23","350","4","4501","3.7625271224938137"
"25","350","4","4501","4.407404858067368"
"26","350","4","4501","3.2526588219955017"
"27","350","4","4501","4.110997139626155"
"28","350","4","4501","4.616207434532021"
"29","350","4","4501","3.872420396803105"
"30","350","4","4501","3.6372392095701307"
"24","350","4","4501","3.2253136738813786"
"32","350","4","4501","3.3974902558548443"
"31","350","4","4501","2.9741684645517887"
"33","350","4","4501","3.3927678426460695"
"35","350","4","4501","4.406344167096578"
"36","350","4","4501","4.53549770372037"
"37","350","4","4501","3.082640856153604"
"39","350","4","4501","4.571505855030858"
"38","350","4","4501","3.229974236093498"
"40","350","4","4501","3.9209243689392017"
"42","350","4","4501","4.086766208621293"
"41","350","4","4501","3.5655648409709144"
"43","350","4","4501","6.09874054286062"
"34","350","4","4501","5.110324559247801"
"44","350","4","4501","5.279804227227688"
"45","350","4","4501","3.217942269334169"
"46","350","4","4501","2.835973565565874"
"48","350","4","4501","3.1377668791228834"
"49","350","4","4501","6.151703738528291"
"50","350","4","4501","2.4185434304337687"
"51","350","4","4501","2.8098495273615844"
"52","350","4","4501","2.8342916266351343"
"53","350","4","4501","3.0827777469993776"
"47","350","4","4501","2.9605726759445377"
"54","350","4","4501","3.1376199358156946"
"55","350","4","4501","2.9652982106733305"
"56","350","4","4501","4.182112331914756"
"58","350","4","4501","3.499063549656891"
"59","350","4","4501","2.998862229425744"
"60","350","4","4501","3.6883036470231154"
"62","350","4","4501","3.492085669830728"
"61","350","4","4501","2.8788346108278295"
"63","350","4","4501","2.8929911269111823"
"57","350","4","4501","3.8676326496181277"
"64","350","4","4501","3.2797652839889673"
"65","350","4","4501","3.684908731542844"
"66","350","4","4501","2.9689785408811398"
"68","350","4","4501","3.4715195067169278"
"69","350","4","4501","3.728230258668817"
"70","350","4","4501","3.309961743130549"
"71","350","4","4501","4.1791558928433785"
"72","350","4","4501","3.4179119446394544"
"73","350","4","4501","4.367116239132067"
"74","350","4","4501","3.5292605250893274"
"75","350","4","4501","3.34552397670778"
"67","350","4","4501","4.704932406830402"
